JUGADOR;PARTIDO;LLAVE;EQUIPO 1;EQUIPO 2;GOLES 1;GOLES 2;RESULTADO
ML;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;1;2;FRANCIA
ML;90;SIN EQUPO-HOLANDA;SIN EQUPO;HOLANDA;0;3;HOLANDA
ML;91;BRASIL-NORUEGA;BRASIL;NORUEGA;2;0;BRASIL
ML;92;MÉXICO-INGLATERRA;MÉXICO;INGLATERRA;1;2;INGLATERRA
ML;93;ESPAÑA-PORTUGAL;ESPAÑA;PORTUGAL;3;2;ESPAÑA
ML;94;SENEGAL-USA;SENEGAL;USA;1;2;USA
ML;95;AUSTRALIA-ARGENTINA;AUSTRALIA;ARGENTINA;0;4;ARGENTINA
ML;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;1;2;COLOMBIA
ML;97;HOLANDA-FRANCIA;HOLANDA;FRANCIA;1;2;FRANCIA
ML;98;ESPAÑA-USA;ESPAÑA;USA;3;0;ESPAÑA
ML;99;BRASIL-INGLATERRA;BRASIL;INGLATERRA;2;1;BRASIL
ML;100;ARGENTINA-COLOMBIA;ARGENTINA;COLOMBIA;2;1;ARGENTINA
ML;101;FRANCIA-ESPAÑA;FRANCIA;ESPAÑA;2;0;FRANCIA
ML;102;BRASIL-ARGENTINA;BRASIL;ARGENTINA;1;2;ARGENTINA
ML;103;BRASIL-ESPAÑA;BRASIL;ESPAÑA;3;1;BRASIL
ML;104;ARGENTINA-FRANCIA;ARGENTINA;FRANCIA;3;2;ARGENTINA
