JUGADOR;PARTIDO;LLAVE;EQUIPO 1;EQUIPO 2;GOLES 1;GOLES 2;RESULTADO
DM;104;ARGENTINA-FRANCIA;ARGENTINA;FRANCIA;2;3;FRANCIA
FF;73;SUDÁFRICA-CANADÁ;SUDÁFRICA;CANADÁ;2;1;SUDÁFRICA
FF;74;ALEMANIA-PARAGUAY;ALEMANIA;PARAGUAY;3;0;ALEMANIA
FF;75;HOLANDA-MARRUECOS;HOLANDA;MARRUECOS;2;0;HOLANDA
FF;76;BRASIL-JAPÓN;BRASIL;JAPÓN;2;1;BRASIL
FF;77;FRANCIA-SUECIA;FRANCIA;SUECIA;4;1;FRANCIA
FF;78;COSTA DE M-NORUEGA;COSTA DE M;NORUEGA;0;2;NORUEGA
FF;79;MÉXICO-ECUADOR;MÉXICO;ECUADOR;1;1;EMPATE
FF;80;INGLATERRA-RD CONGO;INGLATERRA;RD CONGO;2;0;INGLATERRA
FF;81;USA-BOS Y HERZ;USA;BOS Y HERZ;2;0;USA
FF;82;BÉLGICA-SENEGAL;BÉLGICA;SENEGAL;1;0;BÉLGICA
FF;83;PORTUGAL-CROACIA;PORTUGAL;CROACIA;2;2;EMPATE
FF;84;ESPAÑA-AUSTRIA;ESPAÑA;AUSTRIA;1;0;ESPAÑA
FF;85;SUIZA-ARGELIA;SUIZA;ARGELIA;1;1;EMPATE
FF;86;ARGENTINA-CABO VERDE;ARGENTINA;CABO VERDE;2;1;ARGENTINA
FF;87;COLOMBIA-GHANA;COLOMBIA;GHANA;2;0;COLOMBIA
FF;88;AUSTRALIA-EGIPTO;AUSTRALIA;EGIPTO;0;0;EMPATE
FF;89;ALEMANIA-FRANCIA;ALEMANIA;FRANCIA;3;3;EMPATE
FF;90;SUDÁFRICA-HOLANDA;SUDÁFRICA;HOLANDA;0;2;HOLANDA
FF;91;BRASIL-NORUEGA;BRASIL;NORUEGA;2;1;BRASIL
FF;92;ECUADOR-INGLATERRA;ECUADOR;INGLATERRA;1;1;EMPATE
FF;93;ESPAÑA-PORTUGAL;ESPAÑA;PORTUGAL;2;1;ESPAÑA
FF;94;BÉLGICA-USA;BÉLGICA;USA;0;1;USA
FF;95;AUSTRALIA-ARGENTINA;AUSTRALIA;ARGENTINA;0;1;ARGENTINA
FF;96;SUIZA-COLOMBIA;SUIZA;COLOMBIA;1;2;COLOMBIA
FF;97;FRANCIA-HOLANDA;FRANCIA;HOLANDA;2;1;FRANCIA
FF;98;ESPAÑA-USA;ESPAÑA;USA;1;1;EMPATE
